Iteration,Row,Col,Value,Policy
7,2,7,-5.6953279000000006,UP
7,2,8,-0.9123588999999999,DOWN
7,2,9,0.0973790000000001,DOWN
7,3,0,-5.6953279000000006,UP
7,3,1,-5.6953279000000006,UP
7,3,2,-5.6953279000000006,UP
7,3,5,-5.6953279000000006,UP
7,3,6,-5.6953279000000006,UP
7,3,7,-0.9123588999999999,DOWN
7,3,8,0.0973790000000001,DOWN
7,3,9,1.2193100000000001,DOWN
7,4,0,-5.6953279000000006,UP
7,4,1,-5.6953279000000006,UP
7,4,2,-5.6953279000000006,UP
7,4,4,-5.6953279000000006,RIGHT
7,4,5,-5.6953279000000006,UP
7,4,6,-0.9123588999999999,DOWN
7,4,7,0.0973790000000001,DOWN
7,4,8,1.2193100000000001,DOWN
7,4,9,2.4659,DOWN
7,5,6,0.0973790000000001,DOWN
7,5,7,1.2193100000000001,RIGHT
7,5,8,2.4659,DOWN
7,5,9,3.851,DOWN
7,6,0,-5.6953279000000006,DOWN
7,6,1,-5.6953279000000006,DOWN
7,6,2,-5.6953279000000006,LEFT
7,6,3,-5.6953279000000006,DOWN
7,6,4,-0.9123588999999999,DOWN
7,6,5,0.0973790000000001,DOWN
7,6,6,1.2193100000000001,DOWN
7,6,8,3.851,DOWN
7,6,9,5.39,DOWN
7,7,0,-5.6953279000000006,UP
7,7,1,-5.6953279000000006,UP
7,7,3,-0.9123588999999999,DOWN
7,7,4,0.0973790000000001,DOWN
7,7,5,1.2193100000000001,DOWN
7,7,6,2.4659,DOWN
7,7,7,3.851,DOWN
7,7,8,5.39,DOWN
7,7,9,7.1,DOWN
7,8,0,-5.6953279000000006,UP
7,8,1,-5.6953279000000006,UP
7,8,2,-0.9123588999999999,DOWN
7,8,3,0.0973790000000001,DOWN
7,8,4,1.2193100000000001,DOWN
7,8,5,2.4659,DOWN
7,8,6,3.851,DOWN
7,8,7,5.39,DOWN
7,8,8,7.1,DOWN
7,8,9,9.0,DOWN
7,9,0,-5.6953279000000006,UP
7,9,1,-0.9123588999999999,RIGHT
7,9,2,0.0973790000000001,RIGHT
7,9,3,1.2193100000000001,RIGHT
7,9,4,2.4659,RIGHT
7,9,5,3.851,RIGHT
7,9,6,5.39,RIGHT
7,9,7,7.1,RIGHT
7,9,8,9.0,RIGHT
8,0,0,-6.12579511,UP
8,0,1,-6.12579511,UP
8,0,2,-6.12579511,UP
8,0,3,-6.12579511,UP
8,0,4,-6.12579511,UP
8,0,6,-6.12579511,UP
8,0,7,-6.12579511,UP
8,0,8,-6.12579511,UP
8,0,9,-1.82112301,DOWN
8,1,0,-6.12579511,UP
8,1,1,-6.12579511,UP
8,1,2,-6.12579511,UP
8,1,3,-6.12579511,UP
8,1,4,-6.12579511,UP
8,1,6,-6.12579511,UP
8,1,7,-6.12579511,UP
8,1,8,-1.82112301,DOWN
8,1,9,-0.9123588999999999,DOWN
8,2,0,-6.12579511,UP
8,2,1,-6.12579511,UP
8,2,2,-6.12579511,UP
8,2,3,-6.12579511,UP
8,2,4,-6.12579511,UP
8,2,5,-6.12579511,DOWN
8,2,6,-6.12579511,UP
8,2,7,-1.82112301,DOWN
8,2,8,-0.9123588999999999,DOWN
8,2,9,0.0973790000000001,DOWN
8,3,0,-6.12579511,UP
8,3,1,-6.12579511,UP
8,3,2,-6.12579511,UP
8,3,5,-6.12579511,UP
8,3,6,-1.82112301,DOWN
8,3,7,-0.9123588999999999,DOWN
8,3,8,0.0973790000000001,DOWN
8,3,9,1.2193100000000001,DOWN
8,4,0,-6.12579511,UP
8,4,1,-6.12579511,UP
8,4,2,-6.12579511,UP
8,4,4,-6.12579511,RIGHT
8,4,5,-1.82112301,RIGHT
8,4,6,-0.9123588999999999,DOWN
8,4,7,0.0973790000000001,DOWN
8,4,8,1.2193100000000001,DOWN
8,4,9,2.4659,DOWN
8,5,6,0.0973790000000001,DOWN
8,5,7,1.2193100000000001,RIGHT
8,5,8,2.4659,DOWN
8,5,9,3.851,DOWN
8,6,0,-6.12579511,DOWN
8,6,1,-6.12579511,DOWN
8,6,2,-6.12579511,LEFT
8,6,3,-1.82112301,DOWN
8,6,4,-0.9123588999999999,DOWN
8,6,5,0.0973790000000001,DOWN
8,6,6,1.2193100000000001,DOWN
8,6,8,3.851,DOWN
8,6,9,5.39,DOWN
8,7,0,-6.12579511,UP
8,7,1,-6.12579511,UP
8,7,3,-0.9123588999999999,DOWN
8,7,4,0.0973790000000001,DOWN
8,7,5,1.2193100000000001,DOWN
8,7,6,2.4659,DOWN
8,7,7,3.851,DOWN
8,7,8,5.39,DOWN
8,7,9,7.1,DOWN
8,8,0,-6.12579511,UP
8,8,1,-1.82112301,DOWN
8,8,2,-0.9123588999999999,DOWN
8,8,3,0.0973790000000001,DOWN
8,8,4,1.2193100000000001,DOWN
8,8,5,2.4659,DOWN
8,8,6,3.851,DOWN
8,8,7,5.39,DOWN
8,8,8,7.1,DOWN
8,8,9,9.0,DOWN
8,9,0,-1.82112301,RIGHT
8,9,1,-0.9123588999999999,RIGHT
8,9,2,0.0973790000000001,RIGHT
8,9,3,1.2193100000000001,RIGHT
8,9,4,2.4659,RIGHT
8,9,5,3.851,RIGHT
8,9,6,5.39,RIGHT
8,9,7,7.1,RIGHT
8,9,8,9.0,RIGHT
9,0,0,-6.5132155990000005,UP
9,0,1,-6.5132155990000005,UP
9,0,2,-6.5132155990000005,UP
9,0,3,-6.5132155990000005,UP
9,0,4,-6.5132155990000005,UP
9,0,6,-6.5132155990000005,UP
9,0,7,-6.5132155990000005,UP
9,0,8,-2.639010709,DOWN
9,0,9,-1.82112301,DOWN
9,1,0,-6.5132155990000005,UP
9,1,1,-6.5132155990000005,UP
9,1,2,-6.5132155990000005,UP
9,1,3,-6.5132155990000005,UP
9,1,4,-6.5132155990000005,UP
9,1,6,-6.5132155990000005,UP
9,1,7,-2.639010709,DOWN
9,1,8,-1.82112301,DOWN
9,1,9,-0.9123588999999999,DOWN
9,2,0,-6.5132155990000005,UP
9,2,1,-6.5132155990000005,UP
9,2,2,-6.5132155990000005,UP
9,2,3,-6.5132155990000005,UP
9,2,4,-6.5132155990000005,UP
9,2,5,-6.5132155990000005,DOWN
9,2,6,-2.639010709,DOWN
9,2,7,-1.82112301,DOWN
